net,from,to,notes
L_IN,J1-1,F1-1,230VAC line input to fuse
L_FUSED,F1-2,NTC1-1,Inrush current limiter path
L_LIMITED,NTC1-2,PS1-AC_L,Line to AC/DC module
N_IN,J1-2,PS1-AC_N,230VAC neutral to AC/DC module
L_MOV,L_LIMITED,MOV1-1,Surge suppression line side
N_MOV,N_IN,MOV1-2,Surge suppression neutral side
PE_IN,J1-3,PE_PAD,Protective earth to chassis pad only (no LV tie)
5V_ISO,PS1-DC_5V,F2-1,Isolated 5V output from AC/DC module
5V_MAIN,F2-2,J2-1,5V rail to low-voltage section
GND_ISO,PS1-DC_GND,J2-2,Isolated low-voltage ground
5V_MAIN,J2-1,J3-VIN,5V to Master ESP32 socket
5V_MAIN,J2-1,J4-VIN,5V to Slave ESP32 socket
GND_ISO,J2-2,J3-GND,Ground to Master socket
GND_ISO,J2-2,J4-GND,Ground to Slave socket
UART_TX_M2S,J3-GPIO17,J4-GPIO16,Master TX to Slave RX
UART_RX_S2M,J4-GPIO17,J3-GPIO16,Slave TX to Master RX
PHASE_A_DAC,J3-GPIO25,R1-1,Master phase A via series resistor
PHASE_A_OUT,R1-2,J5-1,Phase A output terminal
PHASE_B_DAC,J4-GPIO25,R2-1,Slave phase B via series resistor
PHASE_B_OUT,R2-2,J5-2,Phase B output terminal
PHASE_C_DAC,J4-GPIO26,R3-1,Slave phase C via series resistor
PHASE_C_OUT,R3-2,J5-3,Phase C output terminal
GND_OUT,J5-4,J2-2,Signal ground output terminal
