component,x_mm,y_mm,rotation_deg,layer,notes
J1(AC_IN),8,10,90,Top,Mains connector at board edge
F1(primary fuse),20,10,0,Top,Line path after AC input
NTC1(inrush),34,10,0,Top,After fuse in line path
MOV1(surge),22,20,0,Top,Across L/N near AC input
PS1(ACDC module),52,16,0,Top,Keep isolation clearances around module
F2(secondary polyfuse),72,16,0,Top,Protect 5V rail leaving module
J2(5V service),84,8,90,Top,Low-voltage service connector
J3(master socket),28,46,0,Top,Low-voltage area left
J4(slave socket),92,46,0,Top,Low-voltage area right
J5A(phase A out),112,12,90,Top,Output terminal Phase A/GND
J5B(phase B out),118,12,90,Top,Output terminal Phase B/GND
J5C(phase C out),124,12,90,Top,Output terminal Phase C/GND
R1,50,12,0,Top,Series on phase A line
R2,86,12,0,Top,Series on phase B line
R3,94,12,0,Top,Series on phase C line
C1,50,7,0,Top,Optional phase A filter
C2,86,7,0,Top,Optional phase B filter
C3,94,7,0,Top,Optional phase C filter
C4,76,22,0,Top,5V bulk close to F2/module output
ISO_SLOT,60,34,0,Mechanical,Milled slot between HV and LV sections
H1,5,5,0,Top,Mounting hole
H2,121,5,0,Top,Mounting hole
H3,5,61,0,Top,Mounting hole
H4,121,61,0,Top,Mounting hole
